French,English
de,of
je,I
est,East
pas,not
le,THE
que,that
la,there
vous,YOU
tu,you
un,A
c',vs'
à,To
et,And
il,he
a,To
l',I'
ne,born
les,THE
j',I
en,in
on,we
ça,That
une,a
d',d '
ce,This
qu',that
pour,For
ai,have
n',not'
des,of the
qui,Who
mais,but
dans,In
nous,We
elle,She
me,me
bien,GOOD
si,whether
du,of
y,Y
suis,am
non,No
t',t '
avec,with
tout,All
plus,more
mon,My
m',M '
te,you
au,At
fait,do
moi,Me
s',s'
oui,Yes
va,goes
était,was
as,AS
faire,TO DO
ils,they
sur,on
quoi,What
se,se
comme,as
sais,know
être,be
veux,want
ici,here
ma,my
toi,You
est-ce,is it
dit,said
lui,him
votre,your
es,es
pourquoi,Why
où,Or
là,there
rien,Nothing
cette,this
sont,are
quand,When
peux,can
dire,say
son,her
avez,have
vais,go
alors,SO
ton,your
comment,how
par,by
ou,Or
chose,thing
bon,Good
ont,have
merci,THANKS
juste,just
très,very
jamais,Never
été,summer
aussi,Also
avoir,to have
vraiment,Really
voir,see
même,even
sa,her
oh,Oh
maintenant,NOW
tous,all
peut,can
deux,two
ces,these
êtes,are
allez,Go on
ta,your
autre,other
peu,little
temps,time
quelque,some
fais,do 
toujours,always
encore,Again
notre,OUR
mes,my
besoin,need
avait,had
accord,OK
faut,have to
dois,must
vie,life
peut-être,maybe
aller,go
fois,time
vu,seen
donc,SO
sans,without
monde,world
étais,is
parce,because
avant,Before
sûr,on
trop,too
quelqu',someone
parler,talk
personne,person
avais,had
père,father
crois,believe
après,After
aux,to
dieu,God
ouais,Yeah
ses,his
pense,think
eu,eu
aime,like
leur,their
homme,male
viens,come
vrai,TRUE
femme,women
ok,OK
doit,must
veut,wanna
ans,years
m.,m.
mal,evil
chez,at the house of
déjà,Already
depuis,Since
beaucoup,a lot
vos,your
bonne,Good
mort,dead
mieux,better
vas,go
mère,mother
sera,will be
dis,say
fille,daughter
tes,your 
gens,folks
quel,what
vois,see 
désolé,Sorry
ca,That
voilà,There
avons,have
petit,little
maison,House
soit,either
cela,that
autres,others
toute,all
soir,evening
passé,pass
prendre,take
jour,day
monsieur,Sir
nos,our
savoir,know
choses,things
salut,Hi
cet,this
nom,name
argent,money
bonjour,Good morning
nuit,night
raison,raison
moins,less
arrive,arrived
maman,Mom
reste,stay
moment,moment
voulais,wanted
seul,only
aider,help
air,air
entre,between
papa,dad
passe,pass
aurais,would have
problème,issue
ah,ah
peur,fear
regarde,look at
voulez,want
gars,guys
trouvé,find
fils,son
attends,hold on
savez,know
jusqu',up to
trouver,find
trois,three
assez,enough
famille,family
dû,of
eh,eh
toutes,all
plaît,jail
pourrait,could
travail,work
pris,taken
pu,could
tête,head
quelle,what
sait,knows
sommes,are
appelle,call
quelques,some
faites,done
partir,leave
vite,fast
arrête,stopped
seule,only
serait,would be
voiture,car
enfants,children
tuer,kill
merde,shit
hé,Hey
pendant,during
idée,idea
chance,chance
parle,speak
aurait,would have
part,go
elles,they
jours,days
grand,big
aujourd'hui,Today
venir,come
ami,friend
demain,tomorrow
hein,eh
tard,late
puis,Then
truc,thing
passer,pass
petite,small
tant,so much
connais,know
combien,How much
mec,dude
sens,sense
pouvez,can
porte,door
sortir,to go out
super,great
heure,hour
contre,against
coup,cut
comprends,understand
entendu,heard
vient,come
allons,lets go
ensemble,together
nouveau,new
amour,love
importe,imported
sang,blood
désolée,Sorry
cas,case
sous,below
rester,stay
amis,friends
prends,take
fini,finished
hommes,men
tué,kill
question,question
partie,part
histoire,history
devrais,should
aide,aid
dernière,last
demande,asked
chercher,seek
pensais,thought
genre,gender
seulement,only
police,police
car,because
mois,month
frère,brother
laisser,let
aucun,none
mettre,put
eux,them
laisse,leave alone
chaque,each
ville,city
arrivé,arrived
devrait,should
parlé,speak
avez-vous,have you got
vont,are going
longtemps,a long time
aucune,none
heures,hours
bébé,Babe
place,place
revoir,see again
putain,whore
compris,Understood
ni,neither
savais,knew
leurs,their
étaient,were
attention,attention
donner,give
affaire,affair
endroit,place
pourrais,could
corps,body
façon,way
donné,given
est-il,is it
voici,here is
train,train
dont,of which
écoute,listen
yeux,eyes
trouve,find
pouvoir,power
type,kind
perdu,lost
premier,first
première,first
côté,coast
point,point
tellement,such
main,hand
tiens,take
sois,be
enfant,child
vieux,old
matin,Morning
venu,came
pardon,pardon
là-bas,over there
suite,following
vers,towards
minutes,minutes
demandé,asked
venez,come
devant,before
dr,DR
enfin,Finally
arrêter,Stop
cause,cause
nouvelle,new
attendez,wait
chambre,bedroom
droit,right
parti,left
mis,put
eau,water
compte,account
dirait,would say
terre,earth
belle,beautiful
espère,hope
aimerais,would like to
loin,far
as-tu,Do you have
mari,husband
donne,given
fin,END
croire,believe
mme,mrs
aura,will have
gros,fat
boulot,gig
plutôt,instead
chérie,Dear
prêt,ready
filles,girls
bureau,desk
mourir,die
hier,yesterday
possible,possible
jouer,play
demander,ask
celui,that's why I wrote to you
voulait,wanted to
beau,beautiful
jeune,young
euh,uh
dehors,out
docteur,doctor
a-t-il,does he have
confiance,trust
appeler,to call
années,years
vérité,truth
école,school
chef,chief
femmes,women
propos,about
semaine,week
vivre,live
regardez,look
feu,fire
journée,daytime
madame,Mrs
hey,hey
téléphone,phone
près,close
affaires,business
meilleur,best
devez,have to
dessus,above
mains,hands
penses,thinking
prie,pray
équipe,crew
vas-y,go ahead
grande,big
manger,eat
arriver,arrive
dur,hard
guerre,war
ait,has
appelé,called
marche,market
sécurité,security
garçon,boy
essaie,try
important,important
dites,say
exactement,Exactly
font,make
fort,strong
presque,almost
plein,full
derrière,behind
ben,ben
mariage,marriage
parents,parents
capitaine,captain
dernier,last
fou,mad
ceux,those
tomber,to fall
attendre,to wait for
vue,seen
pensé,think
souviens,remember
envie,urge
fête,party
jeu,game
génial,awesome
pays,country
garde,guard
cours,course
bientôt,Soon
ii,II
numéro,number
personnes,people
cinq,five
parfait,Perfect
excusez-moi,excuse me
laissé,leave alone
ainsi,Thus
retour,feedback
semble,seems
autant,as much
peine,sadness
minute,minute
essayé,tried
plan,plan
instant,moment
serai,will be
prison,prison
penser,think
essayer,to try
prend,take
arme,armed
mauvais,bad
mot,word
travailler,to work
quatre,four
rentrer,to return
regarder,look
choix,choice
êtes-vous,are you
parfois,Sometimes
film,movie
abord,on board
voyez,see
faute,mistake
facile,easy
croyais,believed
bas,down
changer,to change
entendre,hear
plaisir,pleasure
heureux,happy
entrer,enter
voudrais,would like
es-tu,are you
propre,own
étiez,have been
tour,round
fera,will
ensuite,Next
garder,keep
agent,agent
allait,was going to
lit,bed
travaille,work
adore,adore
amie,friend
rendre,render
allons-y,Let's go there
route,road
lieu,place
année,year
voit,sees
commence,begin
service,service
devoir,duty
attend,waits
drôle,funny
difficile,difficult
sûre,safe
pire,worse 
pos,pos
peuvent,can
sujet,subject
état,state
ceci,this
impossible,impossible
sorte,sort
perdre,lose
dollars,dollars
voulu,desired
morte,dead
ira,will go
faisait,did
bizarre,weird
oublié,forget
arrêtez,Stop
ferai,will do
serais,would be
tôt,early
inquiète,worry
payer,pay
coeur,heart
dès,of the
pouvais,could
reviens,come back
chien,dog
suffit,enough
prenez,take
pensez,Think
café,coffee
calme,calme
cherche,look for
montrer,to show
parles,talk
photo,photo
ferme,farm
problèmes,problems
the,tea
cœur,heart
sûrement,certainly
verre,glass
aimes,likes
devons,owe
veulent,want
doute,doubt
musique,music
courant,fluent
sauf,except
moyen,AVERAGE
nouvelles,news
puis-je,can I
avis,notice
sauver,save
hôpital,hospital
questions,issues
meurtre,murder
sérieux,serious
seconde,second
trucs,stuff
comprendre,to understand
allais,alla
esprit,mind
cool,cool
mlle,Miss
marché,market
fous,crazy
laisse-moi,leave me
haut,high
salle,room
malade,sick
changé,exchange
gentil,kind
allé,go
six,six
simple,simple
john,john
semaines,weeks
celle,that
jack,jack
appris,learned
seigneur,lord
dîner,dinner
sors,go outside
commencé,begin
suppose,Assumed
chemin,path
partout,everywhere
bras,arm
cul,ass
prochaine,next
visage,face
h,h
meilleure,best
face,face
soirée,evening
roi,king
surtout,Above all
retard,delay
écrit,writing
livre,book
rapport,report
chéri,Dear
message,message
voulez-vous,Do you want
vaut,worth
ferais,would do
morts,dead
boire,drink
soyez,be
président,president
plait,beating
bois,drink
sinon,Otherwise
erreur,error
new,new
ecoute,listen
mr,MR
rentre,go home
rendez-vous,appointment
devait,was to
revenir,to come back
joue,cheek
pauvre,poor
devenir,become
s,s
rencontrer,meet
sort,spell
commencer,begin
pouvait,could
occupe,busy
entends,hear
souvent,often
pièce,piece
reçu,received
grave,severe
mets,put
intérieur,interior
honneur,honor
dormir,sleep
an,year
faux,fake
messieurs,gentlemen
groupe,band
rêve,dream
carte,map 
aviez,had
appel,call
manque,lack
envoyé,sent
début,beginning
sam,sat
puisse,may
écoutez,Listen
laissez-moi,leave me
bonsoir,Good evening
content,thrilled
secret,secret
venue,coming
cher,Dear
dis-moi,Tell me
effet,effect
voyons,let's see
sac,bag
continue,keep on going
acheter,buy
voix,voice
certains,some
occuper,to occupy
noël,Christmas
gagner,earn
grâce,grace
maître,master
prix,price
mauvaise,bad
général,general
âge,age
long,long
rue,Street
tirer,pull
apprendre,learn
cheveux,hair
noir,black
promis,promised
avaient,had
patron,boss
avocat,attorney
force,strength
accident,accident
dix,ten
probablement,probably
laissez,leave
bout,end 
ordre,order
armes,weapons
cru,believed
déteste,hated
retrouver,to regain
millions,millions
incroyable,amazing
voyage,journey
ailleurs,elsewhere
oublie,forget
ressemble,looks like
bienvenue,Welcome
disparu,gone
protéger,protect
utiliser,to use
situation,situation
petits,small
aurai,will have
veux-tu,do you want
connaissez,know
simplement,merely
scène,stage
sœur,sister
prête,ready
oncle,uncle
devriez,should
liste,list
soeur,sister
complètement,completely
dos,back
armée,army
paix,peace
battre,beat
york,york
crime,crime
anniversaire,anniversary
finir,finish
réussi,succeeded
agit,act
i,I
retourner,flip
sale,dirty
libre,free
bouge,move
contrôle,control
rappelle,remember
arrêté,stopped
hôtel,hotel
idiot,silly
okay,Okay
rencontré,encounter
